Decade,Articles,Words,HMD,LwM,Papers,London_percent,OCR_mean,OCR_median
1800s,154083,144392457,153988,95,6,99.9,0.6981,0.7286
1810s,214413,199478439,214413,0,5,100.0,0.6873,0.7200
1820s,260586,245301865,260586,0,5,100.0,0.7619,0.8116
1830s,191654,189722234,183951,7703,4,75.7,0.8370,0.8947
1840s,602847,622000297,473408,129439,7,55.8,0.8296,0.8953
1850s,989058,689024644,866835,122223,13,65.9,0.7719,0.8420
1860s,989080,661048602,731564,257516,27,71.8,0.8118,0.8771
1870s,801849,544872768,58589,743260,56,7.3,0.8563,0.9085
1880s,1346118,876908293,0,1346118,43,0.0,0.8550,0.9035
1890s,1493709,755591076,0,1493709,44,0.0,0.8476,0.8995
1900s,1349945,589209477,0,1349945,25,0.0,0.8378,0.8816
1910s,868159,328602462,0,868159,14,0.0,0.8380,0.8786
1920s,64669,23824908,0,64669,9,0.0,0.8607,0.9078
