BL_ID,Newspaper_Title,Location,Collection,Articles
0002194,The Sun,London,HMD,1625117
0002642,The Express,London,HMD,368107
0003040,The Birkenhead News and Wirral General Advertiser,"Birkenhead, Merseyside, England",LwM,400749
0002609,Runcorn Examiner,"Runcorn, Cheshire, England",LwM,288397
0003038,Blackpool Herald and Fylde Advertiser,"Blackpool, Lancashire, England",LwM,274608
0003067,Liverpool Weekly Courier,"Liverpool, Merseyside, England",LwM,271283
0002976,The Stockton & Thornaby Herald and South Durham Advertiser,"Stockton-on-Tees, Cleveland, England",LwM,269282
0002601,Widnes Examiner,"Widnes, Cheshire, England",LwM,268014
0002610,The St. Helens Examiner and Prescot Weekly News,"Saint Helens, Merseyside, England",LwM,265676
0002088,The Liverpool Standard and General Commercial Advertiser,"Liverpool, Merseyside, England",HMD,256149
0002596,The Cotton Factory Times,"Manchester, Greater Manchester, England",LwM,223560
0002646,Star,London,HMD,203386
0003039,The Northern Guardian,"Hartlepool, Cleveland, England",LwM,202362
0003092,The Ripon Observer,"Ripon, North Yorkshire, England",LwM,195310
0003075,Northern Weekly Gazette,"Stockton-on-Tees, Cleveland, England",LwM,194702
0003042,The Barrow Herald and Furness Advertiser,"Barrow-in-Furness, Cumbria, England",LwM,180726
0002598,The Warrington & Mid-Cheshire Examiner,"Warrington, Cheshire, England",LwM,167751
0003089,Glasgow Courier,"Glasgow, Strathclyde, Scotland",LwM,162766
0002975,Stockton Herald South Durham and Cleveland Advertiser,"Stockton-on-Tees, Cleveland, England",LwM,162284
0003065,The Haslingden Gazette,"Haslingden, Lancashire, England",LwM,148991
0003058,The Central Glamorgan Gazette,"Bridgend, Mid Glamorgan, Wales",LwM,142003
0003066,The Kenilworth Advertiser,"Kenilworth, Warwickshire, England",LwM,129752
0002977,Swansea and Glamorgan Herald and South Wales Free Press,"Swansea, West Glamorgan, Wales",LwM,129274
0003037,The Blackpool Herald,"Blackpool, Lancashire, England",LwM,116429
0002643,The British Press; or Morning Literary Advertiser,London,HMD,114487
0003047,Lancaster Standard and County Advertiser,"Lancaster, Lancashire, England",LwM,103191
0003081,Penistone Stocksbridge and Hoyland Express,"Penistone, South Yorkshire, England",LwM,99722
0003091,The Dorset County Express and Agricultural Gazette,"Dorchester, Dorset, England",LwM,99328
0003074,The North-Eastern Weekly Gazette,"Stockton-on-Tees, Cleveland, England",LwM,98119
0002084,Northern Times,"Liverpool, Merseyside, England",HMD,96414
0003059,Bridlington and Quay Gazette,"Bridlington, Humberside, England",LwM,91095
0003077,Nelson Chronicle Colne Observer and Clitheroe Division News,"Nelson, Lancashire, England",LwM,88544
0002982,The Telegram,"Weymouth, Dorset, England",LwM,85441
0003051,The Warwickshire Herald,"Birmingham, West Midlands, England",LwM,81998
0002647,The Statesman,London,HMD,77439
0003061,Brighouse & Rastrick Gazette,"Brighouse, West Yorkshire, England",LwM,74918
0002974,The Stourbridge Observer Cradley Heath Halesowen & District Chronicle,"Stourbridge, West Midlands, England",LwM,71810
0003060,Bridport Beaminster and Lyme Regis Telegram,"Bridport, Dorset, England",LwM,61261
0003045,The Atherstone Nuneaton and Warwickshire Times,"Atherstone, Warwickshire, England",LwM,58502
