word,decade,cluster,cluster_size,rank_in_cluster,distance_to_centroid,target_word_visible,snippet
sugar,1900,0,398,268,5.7891,True,"...tortabn*ll 444, aim 'cmb; far. jo, harry aad mts. miller, car- ries* *lock; mr. sad mrs. l. m. mackay. silver salver; miss lion, silver teaspoons and sugar tongs; and mrs. fsawir aut"
sugar,1900,0,398,273,5.8419,True,"whitoy. the members of the whitby liberal club hate presented a silver teapot. sugar basin, and cres.ni jug to mr alfred johnstone, the honottary treasurer of the club, as a gift on the occasion of we"
sugar,1900,0,398,283,6.1611,True,"...libi. illacipul cue adjunct jam soon, a middle-aged woman, was charged at the blackpool polies court yes- terday, with the alleged theft of a pair of sugar tongs, valued at la, fld., ham "
sugar,1900,0,398,289,6.2343,True,"ctu)sea xmas presents. 21 8. very usclul afternoon tea service, comprising tea-pot, sugar basin, and cretan jug, awl highly silver-plated on pure t, tote 31;4,1; wallantaxt new condition; cost 4i.; no"
sugar,1900,0,398,293,6.2576,True,".... blackpol case adjsarael janet scott, a iniddle•ged woman, as charged at the blackpool police court yes- terosy, with the alleged theft of a pair of sugar tows, valued at la. 6d., fr"
sugar,1900,0,398,294,6.2695,True,"rishton. presentation.—the workpeople at peebles mill have presented mr. g. drummond with a silver tea urn, sugar bowl, cream jug. and barometer, on the occagion of his retiring front cue position of "
sugar,1900,0,398,297,6.3907,True,"...ti's"" poerna; mr i f.. broekbank, silver pen tray; lr v.. viaithwaite, e,.pper kettle ard pans: mr a. h. fox-firoekbank. woe of silver teaspoons. and sugar tongs: messrs "
sugar,1900,0,398,300,6.4287,True,"...aune 24, 1905. notes on games and athletics. mr. and miss barber, cousins of the bridegroom,silver flower pot mrs. w. lake, aunt of the bride, silver sugar basin and sifter mr."
sugar,1900,0,398,303,6.4548,True,"general and mrs. swaine' tortoiseshell paper knife sir james and lady rankin, silver cream jug and sugar basin mr. and mrs. gwyer, silver chatelaine mr. greenby, silver mirror sir powlett and lady mil"
sugar,1900,0,398,308,6.5212,True,"mr. and mrs. parr, book stand mr. g. p. mason, fruit dish with sugar basin and cream jug mr. and mrs. paul rylands, salad bowl mrs. fox bourne, silver cream jug rev. mrs. and miss lee-jones, travellin"
sugar,1900,0,398,310,6.5515,True,"...une 24, 1905. notes on games and athletics. mr. and miss barber, cousins of the bridegroona,silver flower pot mrs. w. lake, aunt of the bride, silver sugar basin and sifter mr"
sugar,1900,0,398,311,6.5778,True,"...tlery. .1. graves' enterprise"" parcel contains table kr.ives, 6 table forks, 6 dessert lenives, dessert forks, 6 dessert spoons, 6 tca spoons, 1 pair sugar tongs, 2 table spoons, 1 moist sugar spoon"
sugar,1900,0,398,313,6.5909,True,"...tlertj e. n6pi egr rpar sees 5/111 contains 6 table knives, 6 table forks, 6 dessert knives, 6 dessert forks, (3 dessert spoons, 6 tea spoons, 1 pair sugar tongs, "
sugar,1900,0,398,316,6.6737,True,"...windows and 0011pase prices ilsbwi&re. our stock consists of dinner cruets, break- fast cruets, cake dishes, jelly dishes, salad bowls, cake baskets, sugar bowls, sardine dishes, butter dishes"
