word,decade,n_clusters,silhouette,total_usages,cluster_sizes,visible_snippets
coffee,1840,2,0.1702,2651,854|1797,779
coffee,1850,2,0.1409,4973,2976|1997,1165
coffee,1860,4,0.1567,4035,683|845|2075|432,1011
coffee,1870,3,0.174,4640,392|1583|2665,1796
coffee,1880,3,0.1417,9298,2018|4695|2585,3274
coffee,1890,4,0.1388,7727,1227|876|3259|2365,3101
coffee,1900,3,0.1382,4307,598|2312|1397,1950
coffee,1910,2,0.1375,2510,1425|1085,1446
tea,1840,2,0.1424,7463,2710|4753,2828
tea,1850,2,0.1156,12964,6561|6403,4082
tea,1860,2,0.1325,16338,7441|8897,6949
tea,1870,4,0.1316,26229,6374|6672|11892|1291,12217
tea,1880,3,0.1246,40361,9905|11685|18771,18488
tea,1890,3,0.1238,42616,11413|11218|19985,19540
tea,1900,2,0.1253,33283,14632|18651,13384
tea,1910,2,0.138,16652,9820|6832,6295
sugar,1840,2,0.1526,8216,4617|3599,4284
sugar,1850,4,0.15,6790,1358|3486|1494|452,2240
sugar,1860,2,0.1608,3792,1615|2177,1010
sugar,1870,3,0.1566,2354,1263|386|705,682
sugar,1880,4,0.1559,4214,298|824|936|2156,1505
sugar,1890,2,0.155,3581,1199|2382,1198
sugar,1900,4,0.1601,4598,398|1750|1396|1054,1770
sugar,1910,3,0.1426,4239,1383|1137|1719,2012
opium,1840,2,0.154,482,232|250,145
opium,1850,2,0.1561,497,248|249,141
opium,1860,2,0.1733,240,156|84,63
opium,1870,2,0.2314,302,144|158,122
opium,1880,2,0.2155,613,320|293,318
opium,1890,2,0.2172,825,458|367,369
opium,1900,2,0.2287,495,239|256,224
opium,1910,2,0.1788,401,216|185,163
cocoa,1840,2,0.2959,711,212|499,228
cocoa,1850,2,0.2645,1306,522|784,369
cocoa,1860,2,0.2548,1371,955|416,379
cocoa,1870,2,0.2518,1779,554|1225,518
cocoa,1880,2,0.2467,4136,2622|1514,1545
cocoa,1890,2,0.2717,6421,1882|4539,3424
cocoa,1900,2,0.1697,6301,3009|3292,4760
cocoa,1910,2,0.2081,1307,672|635,599
tobacco,1840,2,0.1315,753,390|363,216
tobacco,1850,3,0.1511,1285,483|795|7,405
tobacco,1860,2,0.1273,1634,891|743,532
tobacco,1870,2,0.1687,3135,1900|1235,1061
tobacco,1880,2,0.1487,4445,2433|2012,1530
tobacco,1890,2,0.141,3446,1623|1823,1428
tobacco,1900,2,0.1527,2848,1427|1421,1265
tobacco,1910,2,0.1559,1783,986|797,612
